"Name","Country","Region","Winery","Rating","NumberOfRatings","Price","Year","Type"
"Crémant de Loire Brut 2017","France","Crémant de Loire","Langlois-Chateau",3.9,25,14.41,"2017","Sparkling"
"Vicar's Choice Sauvignon Blanc Bubbles 2019","New Zealand","Marlborough","Saint Clair",4.2,25,11.9,"2019","Sparkling"
"Crémant de Limoux Brut N.V.","France","Crémant de Limoux","Prima Perla",3.5,25,14.32,"N.V.","Sparkling"
"Athesis Brut 2016","Italy","Südtirol - Alto Adige","Kettmeir",4,25,21.5,"2016","Sparkling"
"Blanc de Blancs Réserve Brut Nature N.V.","Germany","Pfalz","Eymann",3.9,25,31.18,"N.V.","Sparkling"
"Riesling Extra Brut 2015","Germany","Baden","Griesel & Compagnie",4,25,22.13,"2015","Sparkling"
"Sélection Demi-Sec Champagne Premier Cru N.V.","France","Champagne Premier Cru","Henriet-Bazin",4.1,25,25,"N.V.","Sparkling"
"Cava Imperial Brut N.V.","Spain","Cava","Cautiu",3.8,25,9.45,"N.V.","Sparkling"
"Pinot Brut N.V.","Germany","Baden","Weingut Kilian Hunn",3.5,25,13.54,"N.V.","Sparkling"
"Rosato Frizzante N.V.","Italy","Veneto","Le Carline",3.9,25,7.95,"N.V.","Sparkling"
"Brut N.V.","Portugal","Alentejo","Sexy",3.7,26,15,"N.V.","Sparkling"
"Crémant de Loire L'Extra Rosé N.V.","France","Crémant de Loire","Langlois-Chateau",3.7,26,14.4,"N.V.","Sparkling"
"Brut 2012","United States","Anderson Valley","Roederer Estate",3.9,26,57.51,"2012","Sparkling"
"Dom Ruinart Rosé Brut Champagne 2007","France","Champagne","Ruinart",4.4,27,269,"2007","Sparkling"
"Riesling Extra Brut N.V.","Germany","Pfalz","Eymann",4,27,18.6,"N.V.","Sparkling"
"Donna Cora Spumante 2011","Italy","Toscana","Antinori",3.8,27,41.29,"2011","Sparkling"
"Valdobbiadene Prosecco Superiore Millesimato Extra Dry N.V.","Italy","Conegliano-Valdobbiadene Prosecco Superiore","Val d'Oca",3.6,27,11.04,"N.V.","Sparkling"
"Asti Dolce 2017","Italy","Asti","Fontanafredda",3.6,27,14.87,"2017","Sparkling"
