"","Name","Country","Region","Winery","Rating","NumberOfRatings","Price","Year","Type"
"1","Pomerol 2011","France","Pomerol","Château La Providence",4.2,100,95,"2011","Red"
"2","Lirac 2017","France","Lirac","Château Mont-Redon",4.3,100,15.5,"2017","Red"
"3","Erta e China Rosso di Toscana 2015","Italy","Toscana","Renzo Masi",3.9,100,7.45,"2015","Red"
"4","Bardolino 2019","Italy","Bardolino","Cavalchina",3.5,100,8.72,"2019","Red"
"5","Ried Scheibner Pinot Noir 2016","Austria","Carnuntum","Markowitsch",3.9,100,29.15,"2016","Red"
"6","Gigondas (Nobles Terrasses) 2017","France","Gigondas","Vieux Clocher",3.7,100,19.9,"2017","Red"
"7","Marion's Vineyard Pinot Noir 2016","New Zealand","Wairarapa","Schubert",4,100,43.87,"2016","Red"
"8","Red Blend 2014","Chile","Itata Valley","Viña La Causa",3.9,100,17.52,"2014","Red"
"9","Chianti 2015","Italy","Chianti","Castello Montaùto",3.6,100,10.75,"2015","Red"
"10","Tradition 2014","France","Minervois","Domaine des Aires Hautes",3.5,100,6.9,"2014","Red"
"11","Chianti Riserva 2013","Italy","Chianti","Poggiotondo",3.9,100,20.95,"2013","Red"
"12","Descendant 2016","Australia","Barossa","Torbreck",4.3,100,140.64,"2016","Red"
"13","Les Obriers de la Peira Terrasses du Larzac 2017","France","Terrasses du Larzac","La Pèira en Damaisèla",4.1,100,14.52,"2017","Red"
"14","Zenas Primitivo 2018","Italy","Puglia","La Bollina",3.6,100,9.26,"2018","Red"
"15","Cuvée Confidence Côtes du Rhône Rouge 2017","France","Côtes-du-Rhône","Domaine Fond Croze",3.7,100,8.49,"2017","Red"
"16","Shiraz 2018","Australia","South Eastern Australia","Barramundi",3.2,100,6.5,"2018","Red"
"17","Proprietor's Blend 2016","South Africa","Stellenbosch","Ernie Els",4.2,100,29.09,"2016","Red"
"18","La Bienquerida 2016","Spain","Bierzo","Losada",4.3,100,41.58,"2016","Red"
"19","Cabernet Sauvignon 2015","United States","California","Hacienda",3.8,100,7.95,"2015","Red"
"20","Fulgeo Negroamaro Salento 2016","Italy","Salento","San Donaci",4,100,12.9,"2016","Red"
"21","Contraste Tinto 2015","Portugal","Douro","Conceito",3.4,100,9.9,"2015","Red"
"22","Steiner 2013","Hungary","Sopron","Weninger",3.7,100,24.5,"2013","Red"
"23","Old Vines Primitivo 2015","Italy","Puglia","Azienda Agricola Morella",4.2,100,38.7,"2015","Red"
"24","Virtus Tannat 2013","Brazil","Serra Gaúcha","Monte Paschoal",2.9,100,6.77,"2013","Red"
"25","Kallista 2015","South Africa","Stellenbosch","Vriesenhof",4.3,100,26.25,"2015","Red"
"26","Badia a Passignano Gran Selezione Chianti Classico 2016","Italy","Chianti Classico","Antinori",4.2,1000,39.9,"2016","Red"
"27","Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2012","France","Saint-Émilion Grand Cru","Château Figeac",4.4,1000,174.49,"2012","Red"
"28","Carlo V Il Rosso dell'Imperatore 2013","Italy","Veneto","Colli Vicentini",3.7,1000,15.9,"2013","Red"
"29","Pinot Noir 2016","United States","Monterey","District 7",3.6,1001,15.98,"2016","Red"
"30","Marquis de Calon Saint-Estèphe 2015","France","Saint-Estèphe","Château Calon-Ségur",3.9,1001,43.28,"2015","Red"
"31","Hécula Monastrell 2017","Spain","Yecla","Castaño",3.3,1004,8.83,"2017","Red"
"32","Berola 2015","Spain","Campo de Borja","Borsao",3.9,1006,14.52,"2015","Red"
"33","Saint-Julien (Grand Cru Classé) 2010","France","Saint-Julien","Château Léoville Poyferré",4.4,1008,189,"2010","Red"
"34","Pinot Noir Bourgogne 2017","France","Bourgogne","Faiveley",3.7,1009,15.9,"2017","Red"
"35","Vigna del Noce Barbera d'Asti 2007","Italy","Barbera d'Asti","Trinchero",4.1,101,76.9,"2007","Red"
"36","I Tratturi Rosso 2017","Italy","Salento","San Marzano",3.8,101,7.04,"2017","Red"
"37","Château Pilet Bordeaux 2017","France","Bordeaux","J.Queyrens & Fils",3.6,101,6.5,"2017","Red"
"38","Sancerre Rouge 2015","France","Sancerre","Comte Lafond",4.2,101,37.34,"2015","Red"
"39","Shiraz 2016","Australia","McLaren Vale","Food Truck",3.5,101,8.67,"2016","Red"
"40","Ro-Rée Saint-Joseph 2018","France","Saint-Joseph","Louis Chèze",4.2,101,24.37,"2018","Red"
"41","Cabernet Sauvignon 2015","South Africa","Stellenbosch","Big Flower",4,101,16.5,"2015","Red"
"42","Cuvée Alienor Fronsac 2015","France","Fronsac","Château Mayne-Vieil",3.7,101,16.47,"2015","Red"
"43","Sabbie di Sopra al Bosco 2014","Italy","Terre del Volturno","Nanni Copé",3.8,101,31.96,"2014","Red"
"44","Roma Rosso 2018","Italy","Lazio","Poggio le Volpi",4,101,9.95,"2018","Red"
"45","Garnacha de Arrayán 2014","Spain","Castilla y León","Arrayán",3.7,101,21.9,"2014","Red"
"46","Cabernet Sauvignon 2018","Chile","Central Valley","Valdivieso",3.3,101,7.6,"2018","Red"
"47","Terrenus Vinhas Velhas Reserva 2013","Portugal","Alentejano","Rui Reguinga",4.1,101,27.95,"2013","Red"
"48","Fronsac 2005","France","Fronsac","Château Villars",3.8,101,25.95,"2005","Red"
"49","Cuvée Charles de Batz Madiran 2014","France","Madiran","Domaine Berthoumieu",3.7,101,14.09,"2014","Red"
"50","Stony Terrace Cabernet Sauvignon 2016","United States","Napa Valley","Rutherford Wine Company",3.8,101,18.03,"2016","Red"
"51","12 e Mezzo Puglia Primitivo Organic Wine 2016","Italy","Puglia","Varvaglione",3.9,101,9.4,"2016","Red"
"52","El Abuelo Selección Edición Limitada 2013","Spain","Almansa","Bodegas Piqueras",4.2,101,10.95,"2013","Red"
"53","Sangre de Toro Special Selection 2017","Spain","Catalunya","Torres",3.6,101,8.9,"2017","Red"
"54","Château Paul Mas Coteaux du Languedoc Clos des Mures 2018","France","Languedoc","Paul Mas",3.8,101,11.05,"2018","Red"
"55","Merlot 2018","France","Pays d'Oc","Les Jamelles",3.6,101,5.36,"2018","Red"
"56","Roscaleto Barbera d'Alba 2015","Italy","Barbera d'Alba","Enzo Boglietti",3.9,101,31.18,"2015","Red"
"57","Barolo Cannubi 2014","Italy","Barolo","Giacomo Fenocchio",4,101,39.9,"2014","Red"
"58","Pauillac (Premier Grand Cru Classé) 2017","France","Pauillac","Château Mouton Rothschild",4.6,101,633.62,"2017","Red"
"59","Cabernet Sauvignon 2014","United States","Washington","Stimson Estate Cellars",3.3,101,8.29,"2014","Red"
"60","Côte-Rôtie Le Gallet Blanc 2017","France","Côte-Rôtie","Francois Villard",4.4,101,48,"2017","Red"
"61","Capatosta 2015","Italy","Toscana","Poggio Argentiera",3.8,101,19.9,"2015","Red"
"62","Constance Madiran 2015","France","Madiran","Domaine Berthoumieu",3.8,101,9.5,"2015","Red"
"63","Oak Cask Malbec 2019","Argentina","Mendoza","Trapiche",3.7,1010,7.36,"2019","Red"
"64","Amancaya Malbec - Cabernet Sauvignon 2017","Argentina","Mendoza","Caro (Catena and Rothschild)",4,1010,16.8,"2017","Red"
"65","Laccento Ruché di Castagnole Monferrato 2017","Italy","Ruchè","Montalbera",4,1012,19.9,"2017","Red"
"66","San Leonardo 2011","Italy","Vigneti delle Dolomiti","San Leonardo",4.3,1012,48.64,"2011","Red"
"67","Fausto Tannat 2015","Brazil","Serra Gaúcha","Pizzato",3.6,1012,11.35,"2015","Red"
"68","Pauillac (Grand Cru Classé) 2007","France","Pauillac","Château Pichon Baron",4.4,1014,119,"2007","Red"
"69","Disciples 2016","United States","Napa Valley","The Crane Assembly",4.3,1014,53.61,"2016","Red"
"70","Zinfandel 2015","United States","Mendocino County","Bonterra",3.6,1015,16.75,"2015","Red"
"71","Margaux 2010","France","Margaux","Château Labégorce",4,1016,40.95,"2010","Red"
"72","La Luna e i Falò Barbera d'Asti Superiore 2015","Italy","Barbera d'Asti","Vite Colte",3.8,1016,11.49,"2015","Red"
"73","Ribera del Duero 2015","Spain","Ribera del Duero","Garmón",4.2,1017,38.8,"2015","Red"
"74","Les Jardins Rouge 2018","France","Faugères","Saint Antonin",3.8,102,7.95,"2018","Red"
"75","Nero d'Avola - Syrah 2018","Italy","Terre Siciliane","Roccaperciata",3.7,102,4.75,"2018","Red"
"76","La Bienquerida 2013","Spain","Bierzo","Losada",4.1,102,35.97,"2013","Red"
"77","Bonera 2018","Italy","Terre Siciliane","Mandrarossa",3.7,102,9.5,"2018","Red"
"78","Noi 4 Bolgheri 2016","Italy","Bolgheri","Tenuta dei Sette Cieli",4,102,23.5,"2016","Red"
"79","Pinot Noir 2016","New Zealand","Marlborough","Clos Henri Vineyard",3.9,102,27.78,"2016","Red"
"80","Saint-Émilion Grand Cru 2005","France","Saint-Émilion Grand Cru","Château Grand Barrail Lamarzelle Figeac",3.9,102,39.95,"2005","Red"
"81","Gran Selección Tempranillo 2017","Spain","Castilla","Viña San Juan",3.4,102,6.75,"2017","Red"
"82","Syrah 2017","South Africa","Paarl","Glen Carlou",3.9,102,18.25,"2017","Red"
"83","Zweigelt 2017","Austria","Burgenland","Judith Beck",3.9,102,10.6,"2017","Red"
"84","Saint-Émilion Grand Cru 2015","France","Saint-Émilion Grand Cru","Château Vieux Clos St. Emilion",4.1,102,23.09,"2015","Red"
"85","Listán Negro 2017","Spain","Lanzarote","Bermejo",3.6,102,17.95,"2017","Red"
"86","Viile Metamorfosis Merlot 2015","Romania","Dealu Mare","Vitis Metamorfosis",3.5,102,7.5,"2015","Red"
"87","Merlot - Cabernet Sauvignon - Petit Verdot 2014","South Africa","Walker Bay","Creation",3.9,102,12.48,"2014","Red"
"88","RWT Shiraz 2017","Australia","Barossa Valley","Penfolds",4.4,102,229,"2017","Red"
"89","Fronton 2018","France","Fronton","Château Bellevue La Forét",3.5,102,6.95,"2018","Red"
"90","Costers Del Gravet Montsant 2013","Spain","Montsant","Capçanes",3.7,102,13.95,"2013","Red"
"91","Merlot 2018","Italy","Terre Siciliane","Cusumano",3.4,102,7.9,"2018","Red"
"92","Pinot Noir 2015","Austria","Burgenland","Paul Achs",3.7,102,33.05,"2015","Red"
"93","Coume de l'Olla Rouge 2019","France","Vin de France","Matassa",4.1,102,16.96,"2019","Red"
"94","Schwarzer 2017","Germany","Pfalz","Weingut Metzger",3.6,102,13.15,"2017","Red"
"95","Haut-Médoc 2015","France","Haut-Médoc","Château Beaumont",3.8,1020,17.36,"2015","Red"
"96","Bourgogne Pinot Noir (La Vignée) 2015","France","Bourgogne","Bouchard Père & Fils",3.6,1020,17.59,"2015","Red"
"97","Pinot Noir 2017","South Africa","Hemel-en-Aarde Valley","Hamilton Russell Vineyards",4.2,1022,49.09,"2017","Red"
"98","Zinfandel 2016","United States","California","Geyser Peak",3.7,1023,10.9,"2016","Red"
"99","Valpolicella Ripasso Classico Superiore 2017","Italy","Valpolicella Ripasso Classico","Bolla",3.7,1024,15.5,"2017","Red"
"100","Rosso di Montalcino 2015","Italy","Rosso di Montalcino","Castiglion del Bosco",3.9,1025,26.5,"2015","Red"
"101","Ripanço Private Selection Alentejano 2016","Portugal","Alentejano","José Maria da Fonseca",3.7,1026,8.6,"2016","Red"
"102","Riserva Cannonau di Sardegna 2017","Italy","Cannonau di Sardegna","Sella & Mosca",3.8,1027,10.66,"2017","Red"
"103","60 Sessantanni Old Vines Primitivo di Manduria 2016","Italy","Primitivo di Manduria","San Marzano",4.4,1028,17.24,"2016","Red"
"104","Kith & Kin Cabernet Sauvignon 2017","United States","Napa Valley","Round Pond Estate",4.2,1028,38.5,"2017","Red"
"105","Zinfandel 2017","United States","California","Rombauer Vineyards",4.3,1029,34.12,"2017","Red"
"106","Cerro Añon Rioja Gran Reserva 2011","Spain","Rioja","Bodegas Olarra",4.1,103,14.65,"2011","Red"
"107","Bush Vine GSM (Shiraz - Grenache - Mourvedre) 2013","Australia","McLaren Vale","Geoff Merrill",4,103,14.57,"2013","Red"
"108","Plaer Vinyes Velles 2016","Spain","Priorat","Acustic Celler",4.1,103,26.18,"2016","Red"
"109","Cabernet - Shiraz 2016","Spain","La Mancha","Añoranza",3.4,103,3.95,"2016","Red"
"110","Saint-Émilion Grand Cru 2014","France","Saint-Émilion Grand Cru","Château La Confession",3.9,103,26.9,"2014","Red"
"111","Comte de Sénéjac Haut-Médoc 2011","France","Haut-Médoc","Château Sénéjac",3.7,103,16.83,"2011","Red"
"112","Gran Masetto Teroldego 2014","Italy","Trentino","Endrizzi",4.4,103,39.9,"2014","Red"
"113","Barolo Mariondino 2015","Italy","Barolo","Parusso",4.1,103,39.9,"2015","Red"
"114","Crianza 2016","Spain","Rioja","Berceo",3.6,103,9.9,"2016","Red"
"115","Apogee Pepper Bridge Vineyard 2013","United States","Walla Walla Valley","L'Ecole No 41",4.1,103,46.9,"2013","Red"
"116","Gamma Red Blend 2018","Spain","Navarra","Bodegas Piedemonte",3.4,103,6.15,"2018","Red"
"117","Peyres Nobles Rouge 2018","France","Corbières","Château Camplong",4,103,6.5,"2018","Red"
"118","Lemartine Toscana 2015","Italy","Toscana","Poggio Antico",4.1,103,29.67,"2015","Red"
"119","Organic Cabernet 2018","Australia","South Australia","Farm Hand",3.7,103,7.79,"2018","Red"
"120","Pomerol 1999","France","Pomerol","Château Nénin",4.1,103,240,"1999","Red"
"121","Malterdinger Alte Reben Spätburgunder 2016","Germany","Baden","Bernhard Huber",4.1,103,38.69,"2016","Red"
"122","Cabernet Franc 2012","South Africa","Franschhoek","Anthonij Rupert",4.2,103,59.95,"2012","Red"
"123","Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2002","France","Saint-Émilion Grand Cru","Château Valandraud",4.4,103,193.02,"2002","Red"
"124","Bramare Rebon Vineyard Malbec 2017","Argentina","Mendoza","Viña Cobos",4.6,103,75.07,"2017","Red"
"125","Merlot Reserva 2008","Brazil","Vale dos Vinhedos","Pizzato",3.2,103,15.9,"2008","Red"
"126","Brunello di Montalcino Pianrosso 2015","Italy","Brunello di Montalcino","Ciacci Piccolomini d'Aragona",4.4,103,66.29,"2015","Red"
"127","François de Tournon Saint-Joseph 2016","France","Saint-Joseph","Delas",3.9,103,29.15,"2016","Red"
"128","Estibals Minervois 2018","France","Minervois","L'Ostal Cazes",3.6,103,10.99,"2018","Red"
"129","Barbera - Garnacha 2017","Chile","Maule Valley","Erasmo",3.5,103,12.62,"2017","Red"
"130","Roi des Lézards 2014","France","Côtes Catalanes","Domaine Les Enfants Sauvages",3.9,103,19.4,"2014","Red"
"131","One Point Five Cabernet Sauvignon 2016","United States","Stags Leap District","Shafer",4.5,1030,120.01,"2016","Red"
"132","Barbaresco 2013","Italy","Barbaresco","Gaja",4.4,1030,199.9,"2013","Red"
"133","Saint-Julien (Grand Cru Classé) 2006","France","Saint-Julien","Château Branaire-Ducru",3.9,1030,59.54,"2006","Red"
"134","Médoc 2012","France","Médoc","Château Potensac",3.8,1033,39.69,"2012","Red"
"135","Pieve Santa Restituta Brunello di Montalcino 2014","Italy","Brunello di Montalcino","Gaja",4.3,1035,59.9,"2014","Red"
"136","Gran Maestro Primitivo di Manduria 2017","Italy","Primitivo di Manduria","Maestro Italiano",4.1,1036,9.75,"2017","Red"
"137","Saint-Julien (Grand Cru Classé) 2011","France","Saint-Julien","Château Léoville Barton",4.2,1037,87.24,"2011","Red"
"138","Inferno (Aged in Whiskey Barrels - Limited Release) 2017","United States","California","Apothic",3.8,1037,14.56,"2017","Red"
"139","Pessac-Léognan (Grand Cru Classé de Graves) 2007","France","Pessac-Léognan","Château Pape Clément",4.3,1037,161.1,"2007","Red"
"140","Faithful Hound Red 2015","South Africa","Stellenbosch","Mulderbosch",4,1038,14.9,"2015","Red"
